Topic Number,Topic Name,keywords,combined_topic_name
-1,Other,"['test', 'people', 'need', 'get', 'work', 'time', 'case', 'new', 'go', 'make']"
0,Global rise of Pandemic,"['pandemic', 'global', 'health', 'world', 'response', 'country', 'public', 'take', 'need', 'people']"
1,Uncertain1,"['health', 'public', 'mental', 'join', 'challenge', 'emergency', 'interview', 'world', 'global', 'live']"
2,Vaccine development,"['vaccine', 'trial', 'vaccination', 'develop', 'need', 'development', 'work', 'drug', 'make', 'candidate']"
3,Importance of mask Wearing,"['mask', 'wear', 'face', 'protect', 'surgical', 'make', 'use', 'cloth', 'people', 'need']"
4,Pandemic Impact on Grocery,"['food', 'restaurant', 'grocery', 'store', 'meat', 'delivery', 'meal', 'order', 'go', 'eat']"
5,Case Statistics,"['case', 'positive', 'total', 'confirm', 'report', 'new', 'test', 'number', 'japan', 'bring']"
6,Spread of Virus,"['outbreak', 'epidemic', 'new', 'york', 'curve', 'wave', 'case', 'flatten', 'city', 'spread']"
7,Infection Rate by Race,"['black', 'racism', 'racial', 'disparity', 'white', 'race', 'health', 'ethnic', 'people', 'community']"
8,Uncertain2,"['virus', 'spread', 'assay', 'get', 'genetic', 'stay', 'bat', 'sequence', 'lab', 'go']"
9,Death Toll,"['death', 'case', 'new', 'toll', 'total', 'confirm', 'rate', 'number', 'infection', 'recover']"
10,Uncertain3,"['tweet', 'twitter', 'account', 'thread', 'think', 'get', 'like', 'follower', 'thank', 'see']"
11,Treatments for Virus,"['drug', 'trial', 'treatment', 'clinical', 'malaria', 'study', 'antiviral', 'use', 'therapeutic', 'antibiotic']"
12,Isolation and Precaution,"['quarantine', 'self', 'home', 'isolation', 'day', 'people', 'city', 'get', 'need', 'time']"
13,Transmission of Virus,"['transmission', 'symptom', 'identify', 'risk', 'self', 'slow', 'case', 'spread', 'soon', 'daily']"
14,Uncertain4,"['minister', 'curfew', 'pledge', 'support', 'people', 'fight', 'solidarity', 'together', 'prime', 'thank']"
